soldier_id,unit_id,date,terrain_type,threat_level,duty_hours,weekly_overtime_hrs,consecutive_duty_days,night_shift,rest_interval_hrs,is_rest_day,deployment_duration_days,leave_used_ytd,leave_entitlement_annual,days_since_last_leave,rejected_leave_requests_ytd,transfers_last_2yrs,days_since_last_transfer,form_submitted,sleep_hours,sleep_quality,fatigue_level,energy_level,mood_score,stress_perception,_latent_strain,duty_hours_roll7,duty_hours_roll30,duty_baseline,workload_spike_ratio,workload_vs_baseline_pct,high_intensity_days_14d,rest_days_14d,recovery_deficit_ratio,wellness_index,wellness_baseline,wellness_roll14,wellness_roll21,wellness_deviation_z,leave_utilization_rate
SLD-00001,UNIT-001,2026-06-05,normal,low,10.65,11.33,0,0,28.04,1,168,3,30,34,1,4,119,0,4.469480874989548,3.0,4.0,2.0,2.0,4.0,0.5776763971830878,10.315714285714286,10.301458333333333,11.291428571428572,0.9976294139781839,-0.0057682788221189215,7.0,2.0,2.0,2.2,2.2476190476190476,3.1571428571428575,3.161904761904762,-0.05892592698762538,0.1
SLD-00001,UNIT-001,2026-06-06,normal,low,10.64,13.21,1,0,4.27,0,169,3,30,35,1,4,120,0,4.469480874989548,3.0,4.0,2.0,2.0,4.0,0.5776763971830878,10.315714285714286,10.301458333333333,11.291428571428572,0.9976294139781839,-0.0057682788221189215,7.0,2.0,2.0,2.2,2.2476190476190476,3.1571428571428575,3.161904761904762,-0.05892592698762538,0.1
SLD-00001,UNIT-001,2026-06-07,normal,low,8.14,10.39,2,1,8.45,0,170,3,30,36,1,4,121,1,4.448210066048324,2.0,4.0,3.0,3.0,3.0,0.5776763971830878,9.81,10.301458333333333,11.291428571428572,0.9976294139781839,-0.1311993927125506,7.0,2.0,2.0,2.6,2.2476190476190476,3.1571428571428575,3.161904761904762,-0.05892592698762538,0.1
SLD-00001,UNIT-001,2026-06-08,normal,low,12.39,14.02,3,0,7.66,0,171,3,30,37,1,4,122,1,4.757628745185219,3.0,4.0,2.0,3.0,3.0,0.5776763971830878,10.455,10.301458333333333,11.291428571428572,0.9976294139781839,-0.07407641700404861,7.0,2.0,2.0,2.6,2.2476190476190476,3.1571428571428575,3.161904761904762,-0.05892592698762538,0.1
SLD-00001,UNIT-001,2026-06-09,normal,low,11.12,5.66,4,1,5.49,0,172,3,30,38,1,4,123,1,4.887832400704959,3.0,4.0,2.0,2.0,4.0,0.5776763971830878,10.588,10.301458333333333,11.291428571428572,0.9976294139781839,-0.06229757085020253,4.0,1.0,2.0,2.2,2.2476190476190476,2.3600000000000003,3.161904761904762,0.19877605055611722,0.1
SLD-00001,UNIT-001,2026-06-10,normal,low,10.85,13.74,5,0,5.32,0,173,3,30,39,1,4,124,0,4.887832400704959,3.0,4.0,2.0,2.0,4.0,0.5776763971830878,10.631666666666666,10.301458333333333,11.291428571428572,0.9976294139781839,-0.0584303306342781,5.0,1.0,2.5,2.2,2.2476190476190476,2.3333333333333335,3.161904761904762,0.1516088521190723,0.1
SLD-00001,UNIT-001,2026-06-11,normal,low,11.34,12.48,6,1,7.37,0,174,3,30,40,1,4,125,0,4.887832400704959,3.0,4.0,2.0,2.0,4.0,0.5776763971830878,10.732857142857142,10.301458333333333,11.291428571428572,0.9976294139781839,-0.049468623481781465,6.0,1.0,3.0,2.2,2.2476190476190476,2.3142857142857145,2.3142857142857145,0.11791799609261196,0.1
SLD-00001,UNIT-001,2026-06-12,normal,low,9.5,16.05,7,0,11.73,0,175,3,30,41,1,4,126,1,4.255621152647874,4.0,3.0,3.0,1.0,4.0,0.5776763971830878,10.568571428571428,10.301458333333333,11.291428571428572,0.9976294139781839,-0.06401821862348189,6.0,1.0,3.0,2.6,2.2476190476190476,2.35,2.35,0.18108835114222507,0.1
SLD-00001,UNIT-001,2026-06-13,normal,low,11.91,5.31,8,1,5.84,0,176,3,30,42,1,4,127,1,4.642981060575354,3.0,4.0,2.0,3.0,4.0,0.5776763971830878,10.75,10.301458333333333,11.291428571428572,0.9976294139781839,-0.04795040485829963,7.0,1.0,3.5,2.4,2.2476190476190476,2.355555555555556,2.355555555555556,0.19091485081661014,0.1
SLD-00001,UNIT-001,2026-06-14,normal,low,16.03,10.37,0,0,30.88,1,177,3,30,43,1,4,128,1,4.51370730538326,1.0,5.0,1.0,1.0,5.0,0.5776763971830878,11.877142857142857,11.257,11.291428571428572,1.0550895315930406,0.0518724696356275,8.0,2.0,2.6666666666666665,1.0,2.2476190476190476,2.22,2.22,-0.04885174123836732,0.1
SLD-00001,UNIT-001,2026-06-15,normal,low,12.9,15.16,1,1,4.27,0,178,3,30,44,1,4,129,0,4.51370730538326,1.0,5.0,1.0,1.0,5.0,0.5776763971830878,11.950000000000001,11.406363636363636,11.291428571428572,1.0476607954092614,0.05832489878542516,9.0,2.0,3.0,1.0,2.2476190476190476,2.1090909090909093,2.1090909090909093,-0.2450244074651665,0.1
SLD-00001,UNIT-001,2026-06-16,normal,low,12.4,9.19,2,1,7.3,0,179,3,30,45,1,4,130,0,4.51370730538326,1.0,5.0,1.0,1.0,5.0,0.5776763971830878,12.132857142857143,11.489166666666668,11.291428571428572,1.0560258628728925,0.07451923076923071,10.0,2.0,3.3333333333333335,1.0,2.2476190476190476,2.016666666666667,2.016666666666667,-0.40850162932083234,0.1
